Customer ID,Customer Name,Segment,Region,total_sales,total_profit,order_count,last_order_date,recency_days,avg_order_value,customer_value_segment,recency_segment
AF-10870,Art Ferguson,Consumer,South,47.328,14.872,1,2017-11-18,42,47.328,Low Value,Active
AF-10870,Art Ferguson,Consumer,West,97.838,44.5647,2,2016-04-23,616,48.919,Low Value,Inactive
AF-10885,Art Foster,Consumer,East,489.905,-264.30289999999997,3,2016-11-10,415,163.30166666666665,Medium Value,Inactive
AF-10885,Art Foster,Consumer,South,371.65999999999997,101.18539999999999,1,2015-10-13,809,371.65999999999997,Medium Value,Inactive
AG-10270,Alejandro Grove,Consumer,Central,2374.73,696.2947,1,2016-09-13,473,2374.73,High Value,Inactive
AG-10270,Alejandro Grove,Consumer,East,152.668,26.455199999999998,3,2017-03-27,278,50.88933333333333,Low Value,Inactive
AG-10270,Alejandro Grove,Consumer,West,55.5,9.99,1,2014-05-13,1327,55.5,Low Value,Inactive
AG-10300,Aleksandra Gannaway,Corporate,East,81.94,20.485,1,2016-12-05,390,81.94,Low Value,Inactive
AG-10300,Aleksandra Gannaway,Corporate,West,285.608,38.803399999999996,3,2017-09-03,118,95.20266666666667,Low Value,At Risk
AG-10330,Alex Grayson,Consumer,Central,356.95000000000005,87.5615,2,2017-12-22,8,178.47500000000002,Medium Value,Active
AG-10330,Alex Grayson,Consumer,South,12.672,1.4256,1,2017-12-18,12,12.672,Low Value,Active
AG-10330,Alex Grayson,Consumer,West,291.35,-94.1242,2,2017-12-22,8,145.675,Low Value,Active
AG-10390,Allen Goldenen,Consumer,East,47.150999999999996,-0.3498000000000001,2,2016-11-20,405,23.575499999999998,Low Value,Inactive
AG-10390,Allen Goldenen,Consumer,South,134.034,61.32899999999999,2,2016-12-01,394,67.017,Low Value,Inactive
AG-10390,Allen Goldenen,Consumer,West,19.76,8.2992,1,2017-09-07,114,19.76,Low Value,At Risk
AG-10495,Andrew Gjertsen,Corporate,Central,915.4590000000001,103.52019999999999,2,2015-11-11,780,457.72950000000003,Medium Value,Inactive
AG-10495,Andrew Gjertsen,Corporate,East,114.376,24.6492,1,2017-10-13,78,114.376,Low Value,Active
AG-10495,Andrew Gjertsen,Corporate,South,1129.828,165.7093,2,2015-06-08,936,564.914,Medium Value,Inactive
AG-10495,Andrew Gjertsen,Corporate,West,197.192,1.788100000000001,3,2016-10-20,436,65.73066666666666,Low Value,Inactive
AG-10525,Andy Gerbode,Corporate,Central,559.71,-121.2705,1,2014-09-02,1215,559.71,Medium Value,Inactive
AG-10525,Andy Gerbode,Corporate,East,654.7719999999999,-80.6772,1,2015-09-07,845,654.7719999999999,Medium Value,Inactive
AG-10525,Andy Gerbode,Corporate,South,240.55599999999998,49.1864,2,2015-09-06,846,120.27799999999999,Low Value,Inactive
AG-10675,Anna Gayman,Consumer,Central,2894.3596000000002,-369.7284,3,2017-09-07,114,964.7865333333334,High Value,At Risk
AG-10675,Anna Gayman,Consumer,South,594.68,123.3027,4,2017-09-24,97,148.67,Medium Value,At Risk
AG-10765,Anthony Garverick,Home Office,Central,51.592,-60.8566,2,2017-10-14,77,25.796,Low Value,Active
AG-10765,Anthony Garverick,Home Office,East,5.892,-4.1244,1,2014-09-17,1200,5.892,Low Value,Inactive
AG-10765,Anthony Garverick,Home Office,South,113.1,56.55,1,2015-06-09,935,113.1,Low Value,Inactive
AG-10900,Arthur Gainer,Consumer,Central,1372.166,94.36740000000002,3,2017-09-03,118,457.38866666666667,High Value,At Risk
AG-10900,Arthur Gainer,Consumer,East,259.942,45.600300000000004,2,2016-05-17,592,129.971,Low Value,Inactive
AG-10900,Arthur Gainer,Consumer,South,496.51,33.7185,2,2017-09-25,96,248.255,Medium Value,At Risk
AG-10900,Arthur Gainer,Consumer,West,2382.179,169.9962,3,2015-12-27,734,794.0596666666667,High Value,Inactive
AH-10030,Aaron Hawkins,Corporate,East,330.12600000000003,147.29299999999998,3,2017-12-18,12,110.04200000000002,Medium Value,Active
AH-10030,Aaron Hawkins,Corporate,South,86.45,38.038,1,2016-03-20,650,86.45,Low Value,Inactive
AH-10030,Aaron Hawkins,Corporate,West,1328.124,179.88420000000002,3,2015-12-27,734,442.708,High Value,Inactive
AH-10075,Adam Hart,Corporate,Central,217.44,11.933999999999997,1,2016-12-17,378,217.44,Low Value,Inactive
AH-10075,Adam Hart,Corporate,East,2214.047,191.5114,4,2017-10-23,68,553.51175,High Value,Active
AH-10075,Adam Hart,Corporate,South,355.0799999999999,-21.5316,2,2017-11-26,34,177.53999999999996,Medium Value,Active
AH-10075,Adam Hart,Corporate,West,463.77,99.2752,3,2017-04-15,259,154.59,Medium Value,Inactive
AH-10120,Adrian Hane,Home Office,Central,224.56,51.2898,3,2017-10-31,60,74.85333333333334,Low Value,Active
AH-10120,Adrian Hane,Home Office,South,201.09,58.1931,1,2017-08-17,135,201.09,Low Value,At Risk
AH-10120,Adrian Hane,Home Office,West,1309.864,-111.79749999999999,3,2017-04-08,266,436.6213333333333,High Value,Inactive
AH-10195,Alan Haines,Corporate,Central,16.03,-25.648,1,2017-11-05,55,16.03,Low Value,Active
AH-10195,Alan Haines,Corporate,East,161.356,-3.5323999999999995,2,2017-08-24,128,80.678,Low Value,At Risk
AH-10195,Alan Haines,Corporate,South,1410.066,-349.3705,1,2016-12-18,377,1410.066,High Value,Inactive
AH-10210,Alan Hwang,Consumer,Central,195.96,19.596,1,2017-11-23,37,195.96,Low Value,Active
AH-10210,Alan Hwang,Consumer,East,801.988,233.9924,1,2015-12-07,754,801.988,Medium Value,Inactive
AH-10210,Alan Hwang,Consumer,South,1942.996,867.5466,3,2017-10-13,78,647.6653333333334,High Value,Active
AH-10210,Alan Hwang,Consumer,West,1864.3999999999999,187.4196,4,2017-12-24,6,466.09999999999997,High Value,Active
AH-10465,Amy Hunt,Consumer,Central,1757.8536,-352.0866,1,2015-01-03,1092,1757.8536,High Value,Inactive
AH-10465,Amy Hunt,Consumer,East,562.5500000000001,140.8633,1,2017-05-14,230,562.5500000000001,Medium Value,Inactive
AH-10465,Amy Hunt,Consumer,South,103.89999999999999,16.880399999999998,2,2017-04-02,272,51.949999999999996,Low Value,Inactive
AH-10465,Amy Hunt,Consumer,West,71.088,-1.7772,1,2016-05-05,604,71.088,Low Value,Inactive
AH-10585,Angele Hood,Consumer,Central,15.984,4.995,1,2017-12-09,21,15.984,Low Value,Active
AH-10585,Angele Hood,Consumer,South,239.24,23.924,1,2017-07-06,177,239.24,Low Value,At Risk
AH-10585,Angele Hood,Consumer,West,483.28,55.044,2,2016-09-15,471,241.64,Medium Value,Inactive
AH-10690,Anna Häberlin,Corporate,Central,1135.394,150.90300000000002,3,2015-12-31,730,378.4646666666667,Medium Value,Inactive
AH-10690,Anna Häberlin,Corporate,East,70.88,33.3136,1,2016-08-06,511,70.88,Low Value,Inactive
AH-10690,Anna Häberlin,Corporate,South,5369.6759999999995,1095.3473000000001,5,2016-10-04,452,1073.9352,High Value,Inactive
AH-10690,Anna Häberlin,Corporate,West,1312.344,18.4527,3,2016-11-15,410,437.44800000000004,High Value,Inactive
AI-10855,Arianne Irving,Consumer,East,70.366,-5.8916,2,2017-12-11,19,35.183,Low Value,Active
AI-10855,Arianne Irving,Consumer,South,504.9,80.784,1,2017-12-17,13,504.9,Medium Value,Active
AI-10855,Arianne Irving,Consumer,West,3800.52,792.8347,7,2017-09-09,112,542.9314285714286,High Value,At Risk
AJ-10780,Anthony Jacobs,Corporate,East,4486.4439999999995,16.86850000000004,3,2017-05-14,230,1495.4813333333332,High Value,Inactive
AJ-10780,Anthony Jacobs,Corporate,South,62.263999999999996,16.9543,2,2016-11-28,397,31.131999999999998,Low Value,Inactive
AJ-10780,Anthony Jacobs,Corporate,West,318.636,116.8902,2,2017-10-16,75,159.318,Medium Value,Active
AJ-10795,Anthony Johnson,Corporate,East,4.992,1.6848,1,2016-12-26,369,4.992,Low Value,Inactive
AJ-10795,Anthony Johnson,Corporate,South,1725.844,384.469,3,2016-09-12,474,575.2813333333334,High Value,Inactive
AJ-10795,Anthony Johnson,Corporate,West,2770.5550000000003,772.5526,3,2017-07-17,166,923.5183333333334,High Value,At Risk
AJ-10945,Ashley Jarboe,Consumer,Central,1715.16,489.9664,3,2017-08-31,121,571.72,High Value,At Risk
AJ-10945,Ashley Jarboe,Consumer,South,19.456,3.4048,1,2014-03-03,1398,19.456,Low Value,Inactive
AJ-10945,Ashley Jarboe,Consumer,West,104.624,27.764,3,2017-10-06,85,34.87466666666666,Low Value,Active
AJ-10960,Astrea Jones,Consumer,East,618.608,57.6601,2,2014-12-30,1096,309.304,Medium Value,Inactive
AJ-10960,Astrea Jones,Consumer,West,10.64,2.7664,1,2017-10-17,74,10.64,Low Value,Active
AM-10360,Alice McCarthy,Corporate,Central,72.6,17.6574,2,2016-07-16,532,36.3,Low Value,Inactive
AM-10360,Alice McCarthy,Corporate,East,129.832,-59.909000000000006,1,2017-05-28,216,129.832,Low Value,Inactive
AM-10360,Alice McCarthy,Corporate,West,611.58,237.2394,2,2017-12-02,28,305.79,Medium Value,Active
AM-10705,Anne McFarland,Consumer,Central,383.84,47.98,1,2017-04-04,270,383.84,Medium Value,Inactive
AM-10705,Anne McFarland,Consumer,East,2116.5060000000003,472.0844,1,2014-10-31,1156,2116.5060000000003,High Value,Inactive
AM-10705,Anne McFarland,Consumer,South,2229.212,392.79040000000003,3,2017-07-21,162,743.0706666666666,High Value,At Risk
AM-10705,Anne McFarland,Consumer,West,934.4639999999999,172.8778,3,2017-06-25,188,311.488,Medium Value,Inactive
AO-10810,Anthony O'Donnell,Corporate,West,161.28,12.096,1,2016-08-16,501,161.28,Low Value,Inactive
AP-10720,Anne Pryor,Home Office,Central,27.168,-1.3584,1,2015-11-22,769,27.168,Low Value,Inactive
AP-10720,Anne Pryor,Home Office,East,513.784,68.2718,4,2017-11-19,41,128.446,Medium Value,Active
AP-10720,Anne Pryor,Home Office,South,79.3,-8.961400000000001,2,2016-10-21,435,39.65,Low Value,Inactive
AP-10720,Anne Pryor,Home Office,West,1018.3019999999999,227.83679999999998,1,2016-12-06,389,1018.3019999999999,Medium Value,Inactive
AP-10915,Arthur Prichep,Consumer,South,952.908,199.9944,4,2017-09-03,118,238.227,Medium Value,At Risk
AP-10915,Arthur Prichep,Consumer,West,2370.648,379.3169,6,2017-09-23,98,395.108,High Value,At Risk
AR-10345,Alex Russell,Corporate,Central,265.086,17.6652,2,2017-09-08,113,132.543,Low Value,At Risk
AR-10345,Alex Russell,Corporate,East,790.608,-238.71959999999999,2,2017-09-10,111,395.304,Medium Value,At Risk
AR-10405,Allen Rosenblatt,Corporate,Central,41.28,19.8144,1,2017-05-20,224,41.28,Low Value,Inactive
AR-10405,Allen Rosenblatt,Corporate,East,1689.364,-241.3974,2,2017-08-27,125,844.682,High Value,At Risk
AR-10405,Allen Rosenblatt,Corporate,South,239.7,105.468,1,2015-07-31,883,239.7,Low Value,Inactive
AR-10405,Allen Rosenblatt,Corporate,West,265.784,17.3504,1,2014-10-03,1184,265.784,Low Value,Inactive
AR-10510,Andrew Roberts,Consumer,Central,10.8,5.184,1,2017-12-16,14,10.8,Low Value,Active
AR-10510,Andrew Roberts,Consumer,East,195.744,10.4919,3,2016-12-26,369,65.248,Low Value,Inactive
AR-10510,Andrew Roberts,Consumer,West,58.32,27.9936,1,2015-08-31,852,58.32,Low Value,Inactive
AR-10540,Andy Reiter,Consumer,Central,5802.7,2602.0939,1,2017-01-16,348,5802.7,High Value,Inactive
AR-10540,Andy Reiter,Consumer,East,85.78,32.7341,3,2017-12-24,6,28.593333333333334,Low Value,Active
AR-10540,Andy Reiter,Consumer,West,719.968,249.7928,2,2016-09-29,457,359.984,Medium Value,Inactive
AR-10570,Anemone Ratner,Consumer,South,88.15,32.633,1,2016-07-14,534,88.15,Low Value,Inactive
AR-10825,Anthony Rawles,Corporate,Central,347.802,-24.843,1,2016-09-05,481,347.802,Medium Value,Inactive
AR-10825,Anthony Rawles,Corporate,East,765.076,-9.24100000000001,3,2017-11-02,58,255.02533333333335,Medium Value,Active
AR-10825,Anthony Rawles,Corporate,West,3410.458,528.9192,4,2017-07-21,162,852.6145,High Value,At Risk
AS-10045,Aaron Smayling,Corporate,Central,1476.27,-251.2959,1,2017-08-01,151,1476.27,High Value,At Risk
AS-10045,Aaron Smayling,Corporate,East,65.78,32.2322,1,2014-07-27,1252,65.78,Low Value,Inactive
AS-10045,Aaron Smayling,Corporate,South,771.614,-53.6656,2,2017-01-02,362,385.807,Medium Value,Inactive
AS-10045,Aaron Smayling,Corporate,West,737.028,19.154700000000005,3,2017-10-03,88,245.67600000000002,Medium Value,Active
AS-10090,Adam Shillingsburg,Consumer,Central,1252.316,274.4242,4,2017-04-01,273,313.079,High Value,Inactive
AS-10090,Adam Shillingsburg,Consumer,East,1954.3739999999998,-223.91400000000002,3,2017-09-16,105,651.458,High Value,At Risk
AS-10090,Adam Shillingsburg,Consumer,South,34.65,10.395,1,2017-12-02,28,34.65,Low Value,Active
AS-10090,Adam Shillingsburg,Consumer,West,13.97,3.6322,1,2014-12-24,1102,13.97,Low Value,Inactive
AS-10135,Adrian Shami,Home Office,East,54.64,20.3448,1,2017-11-19,41,54.64,Low Value,Active
AS-10135,Adrian Shami,Home Office,West,4.18,1.5048,1,2016-11-13,412,4.18,Low Value,Inactive
AS-10225,Alan Schoenberger,Corporate,East,26.8,12.864,1,2015-05-04,971,26.8,Low Value,Inactive
AS-10225,Alan Schoenberger,Corporate,South,2216.8,444.6902,1,2014-10-18,1169,2216.8,High Value,Inactive
AS-10225,Alan Schoenberger,Corporate,West,2017.1840000000002,262.22090000000003,3,2017-12-08,22,672.3946666666667,High Value,Active
AS-10240,Alan Shonely,Consumer,East,139.816,-22.098200000000006,3,2017-06-21,192,46.605333333333334,Low Value,Inactive
AS-10240,Alan Shonely,Consumer,South,376.342,35.0436,2,2015-03-29,1007,188.171,Medium Value,Inactive
AS-10240,Alan Shonely,Consumer,West,68.45,20.770400000000002,2,2016-06-25,553,34.225,Low Value,Inactive
AS-10285,Alejandro Savely,Corporate,Central,2879.8720000000003,292.12239999999997,3,2017-12-11,19,959.9573333333334,High Value,Active
AS-10285,Alejandro Savely,Corporate,East,23.988,-15.992,1,2016-11-05,420,23.988,Low Value,Inactive
AS-10285,Alejandro Savely,Corporate,West,310.376,78.49719999999999,2,2016-11-04,421,155.188,Medium Value,Inactive
AS-10630,Ann Steele,Home Office,Central,372.44599999999997,56.8968,1,2017-09-29,92,372.44599999999997,Medium Value,At Risk
AS-10630,Ann Steele,Home Office,East,5.68,1.917,1,2014-08-01,1247,5.68,Low Value,Inactive
AS-10630,Ann Steele,Home Office,South,49.976,18.452099999999998,3,2017-04-30,244,16.658666666666665,Low Value,Inactive
AS-10630,Ann Steele,Home Office,West,405.29600000000005,59.226000000000006,2,2015-09-03,849,202.64800000000002,Medium Value,Inactive
AT-10435,Alyssa Tate,Home Office,East,16.862,-1.7024000000000004,2,2017-04-02,272,8.431,Low Value,Inactive
AT-10435,Alyssa Tate,Home Office,South,3.444,-2.5256,1,2015-09-06,846,3.444,Low Value,Inactive
AT-10435,Alyssa Tate,Home Office,West,1151.508,105.10480000000001,3,2017-12-09,21,383.836,Medium Value,Active
AT-10735,Annie Thurman,Consumer,Central,399.904,25.193,2,2017-08-01,151,199.952,Medium Value,At Risk
AT-10735,Annie Thurman,Consumer,East,3126.156,852.2062000000001,4,2017-12-17,13,781.539,High Value,Active
AT-10735,Annie Thurman,Consumer,South,147.344,49.7286,1,2014-11-03,1153,147.344,Low Value,Inactive
AT-10735,Annie Thurman,Consumer,West,158.46,46.9792,3,2017-07-07,176,52.82,Low Value,At Risk
AW-10840,Anthony Witt,Consumer,Central,30.264000000000003,-13.8837,1,2015-11-29,762,30.264000000000003,Low Value,Inactive
AW-10840,Anthony Witt,Consumer,East,321.248,26.9448,1,2017-12-10,20,321.248,Medium Value,Active
AW-10840,Anthony Witt,Consumer,West,297.86400000000003,52.7114,2,2017-09-02,119,148.93200000000002,Low Value,At Risk
AW-10930,Arthur Wiediger,Home Office,Central,1748.02,-250.2484,4,2017-11-14,46,437.005,High Value,Active
AW-10930,Arthur Wiediger,Home Office,East,4.928,1.7248,1,2016-10-07,449,4.928,Low Value,Inactive
AW-10930,Arthur Wiediger,Home Office,West,1100.02,143.97500000000002,2,2017-08-31,121,550.01,Medium Value,At Risk
AY-10555,Andy Yotov,Corporate,East,8.016,1.1022,1,2014-12-26,1100,8.016,Low Value,Inactive
AY-10555,Andy Yotov,Corporate,West,488.998,102.2477,3,2017-12-16,14,162.99933333333334,Medium Value,Active
AZ-10750,Annie Zypern,Consumer,Central,146.72,22.848,2,2017-07-23,160,73.36,Low Value,At Risk
AZ-10750,Annie Zypern,Consumer,East,403.416,75.0965,2,2015-05-12,963,201.708,Medium Value,Inactive
AZ-10750,Annie Zypern,Consumer,West,1071.8819999999998,57.00580000000001,2,2016-02-05,694,535.9409999999999,Medium Value,Inactive
BB-10990,Barry Blumstein,Corporate,Central,374.076,-8.215999999999994,1,2015-11-02,789,374.076,Medium Value,Inactive
BB-10990,Barry Blumstein,Corporate,East,17.48,1.311,1,2017-06-01,212,17.48,Low Value,Inactive
BB-10990,Barry Blumstein,Corporate,West,352.784,18.4889,3,2017-09-16,105,117.59466666666667,Medium Value,At Risk
BB-11545,Brenda Bowman,Corporate,Central,1971.9099999999999,332.96729999999997,5,2017-09-15,106,394.38199999999995,High Value,At Risk
BB-11545,Brenda Bowman,Corporate,East,2256.75,471.378,2,2017-08-12,140,1128.375,High Value,At Risk
BB-11545,Brenda Bowman,Corporate,South,1158.12,130.2885,1,2017-11-11,49,1158.12,Medium Value,Active
BB-11545,Brenda Bowman,Corporate,West,1378.948,80.4412,1,2017-12-02,28,1378.948,High Value,Active
BC-11125,Becky Castell,Home Office,Central,340.116,-9.7176,1,2014-09-13,1204,340.116,Medium Value,Inactive
BC-11125,Becky Castell,Home Office,East,669.3779999999999,137.1876,3,2016-08-12,505,223.12599999999998,Medium Value,Inactive
BC-11125,Becky Castell,Home Office,West,1924.182,124.1274,5,2017-06-11,202,384.8364,High Value,Inactive
BD-11320,Bill Donatelli,Consumer,Central,2924.55,901.6755,3,2017-09-23,98,974.85,High Value,At Risk
BD-11320,Bill Donatelli,Consumer,East,562.495,17.266000000000002,2,2017-04-12,262,281.2475,Medium Value,Inactive
BD-11320,Bill Donatelli,Consumer,West,2231.476,175.5622,7,2017-11-27,33,318.7822857142857,High Value,Active
BD-11500,Bradley Drucker,Consumer,Central,813.174,309.0769,2,2014-10-14,1173,406.587,Medium Value,Inactive
BD-11500,Bradley Drucker,Consumer,South,3228.0899999999997,859.8217999999999,3,2017-01-26,338,1076.03,High Value,Inactive
BD-11500,Bradley Drucker,Consumer,West,369.97900000000004,-26.7762,1,2017-11-25,35,369.97900000000004,Medium Value,Active
BD-11560,Brendan Dodson,Home Office,South,151.96,36.4704,1,2015-05-30,945,151.96,Low Value,Inactive
BD-11560,Brendan Dodson,Home Office,West,168.58,80.2436,1,2017-03-27,278,168.58,Low Value,Inactive
BD-11605,Brian Dahlen,Consumer,East,192.986,10.434,2,2016-12-30,365,96.493,Low Value,Inactive
BD-11605,Brian Dahlen,Consumer,South,910.454,281.4785,3,2017-09-24,97,303.48466666666667,Medium Value,At Risk
BD-11605,Brian Dahlen,Consumer,West,2185.031,342.9338,2,2014-08-15,1233,1092.5155,High Value,Inactive
BD-11620,Brian DeCherney,Consumer,Central,582.0699999999999,78.0919,1,2017-10-22,69,582.0699999999999,Medium Value,Active
BD-11620,Brian DeCherney,Consumer,East,148.128,-14.931999999999999,2,2016-12-25,370,74.064,Low Value,Inactive
BD-11620,Brian DeCherney,Consumer,South,310.688,108.7408,1,2014-06-30,1279,310.688,Medium Value,Inactive
BD-11620,Brian DeCherney,Consumer,West,497.224,34.8562,2,2016-12-31,364,248.612,Medium Value,Inactive
BD-11635,Brian Derr,Consumer,East,511.646,113.844,2,2015-12-05,756,255.823,Medium Value,Inactive
BD-11635,Brian Derr,Consumer,South,71.0,27.69,1,2017-12-21,9,71.0,Low Value,Active
BD-11725,Bruce Degenhardt,Consumer,East,46.72,17.52,1,2016-02-25,674,46.72,Low Value,Inactive
BD-11725,Bruce Degenhardt,Consumer,South,1294.83,276.02750000000003,3,2017-05-30,214,431.60999999999996,High Value,Inactive
BD-11725,Bruce Degenhardt,Consumer,West,184.95,40.4316,2,2017-09-28,93,92.475,Low Value,At Risk
BD-11770,Bryan Davis,Consumer,Central,86.352,5.397,1,2016-05-02,607,86.352,Low Value,Inactive
BD-11770,Bryan Davis,Consumer,East,428.87399999999997,73.9058,4,2017-02-06,327,107.21849999999999,Medium Value,Inactive
BD-11770,Bryan Davis,Consumer,West,143.24,61.9622,1,2016-09-10,476,143.24,Low Value,Inactive
BE-11335,Bill Eplett,Home Office,Central,3501.8959999999997,1241.4347,2,2017-09-02,119,1750.9479999999999,High Value,At Risk
BE-11335,Bill Eplett,Home Office,East,490.94000000000005,170.0768,2,2017-07-17,166,245.47000000000003,Medium Value,At Risk
BE-11335,Bill Eplett,Home Office,West,211.84,76.2624,1,2017-03-23,282,211.84,Low Value,Inactive
BE-11410,Bobby Elias,Consumer,Central,1918.326,635.0619,2,2017-01-21,343,959.163,High Value,Inactive
